iter	Passed	Remaining
0	20	20407
1	37	18923
2	63	21197
3	80	20072
4	98	19504
5	124	20663
6	148	21005
7	159	19723
8	179	19764
9	195	19351
10	209	18798
11	211	17376
12	232	17623
13	243	17120
14	258	16973
15	276	16980
16	284	16422
17	292	15982
18	298	15386
19	310	15195
20	321	14999
21	333	14835
22	335	14253
23	350	14263
24	355	13868
25	370	13889
26	379	13664
27	383	13314
28	386	12947
29	399	12932
30	413	12911
31	417	12629
32	427	12513
33	435	12375
34	444	12260
35	455	12190
36	467	12155
37	479	12138
38	494	12176
39	501	12041
40	523	12238
41	539	12295
42	559	12449
43	572	12444
44	581	12333
45	590	12238
46	601	12187
47	619	12289
48	635	12340
49	658	12503
50	674	12551
51	703	12830
52	711	12718
53	723	12674
54	743	12773
55	755	12743
56	777	12860
57	795	12917
58	819	13075
59	845	13247
60	880	13554
61	906	13720
62	946	14074
63	964	14108
64	973	14009
65	996	14107
66	1001	13944
67	1028	14096
68	1043	14074
69	1073	14257
70	1085	14203
71	1103	14223
72	1119	14219
73	1141	14288
74	1158	14282
75	1165	14175
76	1184	14201
77	1196	14138
78	1200	13997
79	1217	13997
80	1220	13845
81	1235	13833
82	1242	13729
83	1254	13684
84	1259	13558
85	1275	13553
86	1279	13427
87	1305	13529
88	1320	13513
89	1325	13398
90	1332	13315
91	1343	13263
92	1353	13203
93	1364	13153
94	1369	13042
95	1379	12987
96	1390	12939
97	1397	12864
98	1408	12818
99	1411	12706
100	1425	12689
101	1428	12580
102	1436	12512
103	1448	12478
104	1452	12376
105	1463	12344
106	1466	12241
107	1469	12140
108	1477	12081
109	1487	12035
110	1490	11937
111	1503	11919
112	1506	11826
113	1517	11790
114	1524	11732
115	1529	11652
116	1541	11635
117	1544	11544
118	1555	11512
119	1561	11454
120	1569	11404
121	1577	11354
122	1589	11334
123	1593	11255
124	1600	11201
125	1603	11121
126	1611	11075
127	1618	11026
128	1622	10957
129	1634	10936
130	1641	10887
131	1648	10841
132	1656	10797
133	1663	10753
134	1666	10680
135	1674	10640
136	1681	10595
137	1692	10570
138	1701	10536
139	1707	10490
140	1715	10451
141	1723	10413
142	1726	10345
143	1731	10292
144	1740	10261
145	1747	10219
146	1754	10181
147	1757	10119
148	1766	10090
149	1774	10056
150	1777	9994
151	1780	9933
152	1792	9924
153	1797	9876
154	1806	9846
155	1814	9814
156	1817	9759
157	1829	9751
158	1837	9720
159	1845	9689
160	1853	9658
161	1856	9605
162	1862	9563
163	1870	9533
164	1873	9481
165	1884	9470
166	1890	9430
167	1897	9398
168	1907	9378
169	1910	9325
170	1917	9294
171	1928	9283
172	1932	9237
173	1939	9209
174	1945	9171
175	1952	9142
176	1963	9131
177	1971	9104
178	1979	9077
179	1981	9028
180	1988	8999
181	1996	8972
182	2003	8943
183	2006	8896
184	2009	8852
185	2013	8812
186	2030	8825
187	2034	8789
188	2043	8767
189	2051	8744
190	2054	8701
191	2062	8678
192	2065	8635
193	2071	8606
194	2079	8583
195	2085	8556
196	2094	8535
197	2101	8513
198	2109	8492
199	2112	8450
200	2117	8417
201	2125	8398
202	2129	8359
203	2138	8343
204	2145	8318
205	2150	8287
206	2158	8267
207	2165	8246
208	2171	8216
209	2180	8202
210	2187	8181
211	2191	8144
212	2193	8105
213	2198	8073
214	2202	8041
215	2209	8019
216	2217	8002
217	2220	7966
218	2223	7928
219	2227	7898
220	2235	7878
221	2243	7861
222	2246	7827
223	2250	7797
224	2253	7763
225	2260	7743
226	2268	7723
227	2279	7716
228	2284	7690
229	2288	7661
230	2295	7641
231	2302	7622
232	2305	7590
233	2314	7575
234	2317	7545
235	2322	7517
236	2328	7496
237	2331	7465
238	2339	7449
239	2345	7428
